"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","03","0","0331631227783","9","2016","15/09/2016","029709979905000","PT ANDAL AMAN ABADI","JL.RAYA NUSA DUA SELATAN NO.1,LINGK.PEMINGE, BENOA , BADUNG","15523760","1552376","0","1"
"FM","03","0","0321603877639","9","2016","19/09/2016","023532906903000","PT MITRA BINA WASPADA","JL.AKASIA IX NO.16 DPS., SUMERTA , DENPASAR","14969340","1496934","0","1"
"FM","01","0","0331625092591","9","2016","13/09/2016","017211236054000","PT ACE HARDWARE INDONESIA TBK","JL. PURI KENCANA NO. 1 , JAKARTA BARAT","1567182","156718","0","1"
"FM","01","0","0331634046697","9","2016","15/09/2016","029653375911000","PT SEJAHTERA MANDIRI BERSAMA","JL. GOTONG ROYONG NO. 9D LINGK. OTAK DESA DAYAN PEKEN , KODYA MATARAM","8232686","823269","0","1"
"FM","03","0","0311600330813","9","2016","16/09/2016","723227534407000","PT PERDANA FIMA KREASINDO","BINTARA IX NO 5 RT 012 RW 002, BINTARA JAYA , KOTA BEKASI","28300000","2830000","0","1"
"FM","03","0","0331684650607","9","2016","13/09/2016","706320124015000","PT MOBILINDO NUSA PERSADA","EIGHTYEIGHT@KASABLANKA OFFICE TOWER LANTAI 30 UNIT G JL CASABLANCA KAV 88, MENTENG DALAM , JAKARTA SELATAN","10800000","1080000","0","1"
"FM","01","0","0321680469667","9","2016","13/09/2016","027881747907000","CV MAGNUM SOLUSION (111)","JL.GAMBIR 14B, ABIANBASE , GIANYAR","900000","90000","0","1"
"FM","01","0","0331632087795","9","2016","02/09/2016","013877964073000","PT JURNALINDO AKSARA GRAFIKA","WISMA BISNIS INDONESIA LT.5 JL.KH.MAS MANSYUR 12A, KARET TENGSIN , JAKARTA PUSAT","8640000","864000","0","1"
"FM","01","0","0311688799395","9","2016","13/09/2016","032968166014000","PT TRANS E PRODUKSI","MENARA BANK MEGA LT.24, JL. KAPTEN TENDEAN KAV.12-14 RT 002 RW 002 , JAKARTA SELATAN","1320105000","132010500","0","1"
"FM","01","0","0311663997531","9","2016","01/09/2016","019142280901000","CV PRADIPA ASRI KARYA","JL.PADANG ASRI X / 2, PADANG SAMBIAN KELOD , DENPASAR","8052220","805222","0","1"
